day,close
1,115.092
2,115.544
3,115.537
4,115.998
5,115.414
6,115.527
7,115.592
8,115.447
9,114.911
10,115.015
11,114.721
12,115.07
13,115.014
14,115.53
15,115.514
16,114.974
17,114.903
18,115.52
19,115.46
20,114.823
21,115.287
22,115.669
23,115.864
24,116.128
25,117.266
26,118.189
27,118.287
28,118.759
29,118.586
30,119.142
31,119.468
32,120.799
33,121.136
34,122.359
35,122.081
36,123.891
37,122.886
38,121.82
39,121.688
40,122.538
41,122.758
42,123.591
43,123.783
44,123.966
45,124.277
46,125.389
47,125.396
48,125.65
49,125.884
50,126.364
51,126.996
52,128.888
53,127.875
54,128.385
55,128.38
56,128.132
57,127.197
58,128.422
59,130.811
60,129.824
61,130.176
62,130.124
63,129.094
64,130.174
65,130.521
66,130.307
67,130.42
68,129.958
69,128.31
70,129.228
71,129.092
72,129.343
73,128.235
74,127.82
75,127.895
76,127.891
77,126.848
78,127.254
79,127.072
80,127.084
81,127.599
82,128.693
83,130.156
84,129.877
85,130.815
86,131.895
87,132.63
88,134.24
89,134.37
90,134.386
91,134.431
92,135.452
93,133.838
94,132.215
95,134.935
96,135.056
97,136.662
98,136.226
99,134.957
100,135.091
101,135.478
102,136.191
