1.0,high,low
2.0,128.914,128.448
3.0,128.974,128.7
4.0,129.406,128.866
5.0,129.377,128.054
6.0,128.745,128.348
7.0,128.458,127.6
8.0,128.154,127.455
9.0,127.918,127.656
10.0,128.474,127.79
11.0,128.638,128.108
12.0,128.379,127.865
13.0,128.379,127.803
14.0,128.703,128.078
15.0,128.595,128.063
16.0,128.662,128.259
17.0,128.69,128.044
18.0,128.328,127.733
19.0,128.527,128.202
20.0,129.107,128.134
21.0,128.889,128.347
22.0,128.853,128.428
23.0,128.869,128.237
24.0,128.597,127.88
25.0,128.503,127.989
26.0,128.277,127.52
27.0,128.132,127.687
28.0,128.219,127.35
29.0,128.18,127.382
30.0,128.2,127.71
31.0,127.931,127.179
32.0,127.541,127.023
33.0,127.682,127.196
34.0,127.626,126.94
35.0,127.828,127.36
36.0,128.101,127.482
37.0,128.195,127.793
38.0,128.59,127.907
39.0,128.44,128.199
40.0,128.842,128.336
41.0,129.905,128.625
42.0,130.955,129.781
