mounth,close
1,128.752
2,128.888
3,129.29
4,128.553
5,128.402
6,128.104
7,127.883
8,127.875
9,128.155
10,128.36
11,128.06
12,128.124
13,128.595
14,128.385
15,128.62
16,128.186
17,128.26
18,128.438
19,128.888
20,128.38
21,128.755
22,128.522
23,128.12
24,128.157
25,127.691
26,128.132
27,127.595
28,128.104
29,127.868
,127.21
,127.524
,127.197
,127.543
,127.65
,127.959
,128.069
,128.271
,128.422
,128.815
,129.844
,130.925
,130.808
,130.96
,130.811
,130.575
,130.534
,130.103
,130.083
,129.674
,129.824
,130.058
,130.381
,130.042
,130.115
,130.17
,130.176
,129.908
,130.132
,130.111
,129.882
,130.167
,130.124
,130.142
,130.146
,130.047
,129.87
,130.003
,129.094
,129.095
,129.254
,129.697
,129.898
,130.414
,130.174
,130.478
,130.563
,130.439
,130.655
,130.428
,130.521
,130.844
,130.994
,131.19
,130.717
,130.292
,130.307
,130.034
,130.461
,130.075
,129.971
,130.244
,130.42
,130.34
,130.335
,129.858
,130.748
,129.931
,129.958
,129.736
,129.78
,128.548
,128.111
,128.4
,128.31
,128.819
,128.943
,128.803
,129.01
,129.369
,129.228
,129.478
,129.015
,129.375
,129.297
,129.044
,129.092
,129.199
,129.394
,129.369
,129.575
,129.354
,129.343
,129.246
,129.093
,129.218
,128.897
,128.335
,128.235
,128.367
,128.833
,127.852
,127.185
,127.597
,127.82
,127.769
,127.764
,128.088
,127.784
,127.699
,127.895
,127.708
,127.424
,127.556
,127.824
,127.845
,127.891
,127.806
,127.654
,127.43
,127.228
,126.565
,126.848
,126.897
,126.946
,127.053
,127.055
,127.465
,127.254
,127.453
,127.355
,126.679
,127.177
,127.357
,127.072
,127.001
,126.814
,127.039
,127.033
,127.141
,127.084
,127.05
,126.999
,127.289
,127.731
,127.542
,127.599
,128.194
,128.002
,127.922
,128.661
,128.547
,128.693
,128.914
,129.224
,129.478
,129.325
,130.132
,130.156
,130.035
,130.052
,129.89
,129.642
,129.778
,129.877
,129.753
,129.845
,129.969
,130.493
,130.807
,130.815
,130.826
,130.657
,130.75
,130.789
,131.671
,131.895
,132.221
,132.943
,132.743
,132.79
,132.589
,132.63
,133.069
,133.247
,133.833
,134.29
,134.053
,134.24
,134.274
,134.173
,133.642
,133.787
,134.153
,134.37
,134.002
,134.206
,133.857
,133.954
,134.311
,134.386
,134.959
,135.019
,134.33
,134.039
,134.188
,134.431
,134.151
,134.6
,134.181
,134.577
,134.979
,135.452
,135.016
,135.066
,134.522
,134.701
,134.473
,133.838
,134.241
,134.406
,133.218
,132.789
,131.813
,132.215
,133.22
,133.841
,134.52
,134.582
,135.139
,134.935
,135.175
,134.953
,134.763
,134.938
,135.058
,135.056
,135.1
,135.122
,135.307
,136.23
,136.386
,136.662
,136.415
,136.219
,136.252
,135.799
,136.233
,136.226
,136.072
,135.436
,135.435
,134.951
,134.767
,134.957
,135.115
,134.795
,134.915
,135.132
,135.164
,135.091
,134.629
,134.701
,134.974
,135.416
,135.355
,135.478
,135.444
,135.342
,135.682
,136.263
